x,y,value
France,Apricot,2.312954544
France,Avocado,3.161014032
France,Lemon,0.907569544
France,Date,1.12964548
France,Strawberry,
France,Mandarin,2.619356857
France,Chestnut,0.087482791
France,Nuts,2.943858243
France,Olive,1.335691455
France,Mirabelle,0.313909054
France,Orange,0.570902457
France,Fig,0.868987598
France,Raisin,
France,Pear,
France,Potato,
France,Khaki,
France,Kiwi,6.026783469
France,Pumpkin,0.547221742
France,Mango,
France,Cherry,1.947237573
Italy,Apricot,2.250335337
Italy,Avocado,1.447293189
Italy,Lemon,1.716316891
Italy,Date,0.622277081
Italy,Strawberry,
Italy,Mandarin,1.937861143
Italy,Goyave,
Italy,Chestnut,0.35446193
Italy,Nuts,0.371992152
Italy,Olive,1.05979039
Italy,Orange,1.908762172
Italy,Fig,4.632439392
Italy,Raisin,
Italy,Pear,
Italy,Potato,
Italy,Khaki,
Italy,Banana,
Italy,Blackcurrant,
Italy,Kiwi,1.673923311
Italy,Pumpkin,0.802992036
Italy,Cherry,1.945324924
Germany,Apricot,0.247865648
Germany,Avocado,1.135458472
Germany,Lemon,0.638806754
Germany,Date,1.626323182
Germany,Strawberry,
Germany,Mandarin,0.423998028
Germany,Chestnut,1.434138975
Germany,Nuts,0.739298332
Germany,Olive,1.66300716
Germany,Mirabelle,4.759329802
Germany,Orange,3.718673834
Germany,Fig,2.458679694
Germany,Raisin,
Germany,Pear,
Germany,Potato,
Germany,Prune,
Germany,Khaki,
Germany,Banana,
Germany,Ananas,
Germany,Kiwi,1.323470595
Germany,Pumpkin,0.077006
Germany,Cherry,1.711160478
United Kingdom,Apricot,0.179246715
United Kingdom,Avocado,0.022885648
United Kingdom,Lemon,1.715208247
United Kingdom,Date,1.752070576
United Kingdom,Mandarin,3.428116377
United Kingdom,Goyave,
United Kingdom,Chestnut,0.19739812
United Kingdom,Nuts,1.007042296
United Kingdom,Olive,2.228287011
United Kingdom,Orange,0.930497923
United Kingdom,Fig,0.595332965
United Kingdom,Cerise,
United Kingdom,Raisin,
United Kingdom,Potato,
United Kingdom,Prune,
United Kingdom,Khaki,
United Kingdom,Ananas,
United Kingdom,Kiwi,3.949402246
United Kingdom,Pumpkin,2.200993918
United Kingdom,Mango,
United Kingdom,Cherry,0.200636027
Spain,Apricot,0.998975114
Spain,Avocado,1.379856104
Spain,Lemon,4.62106337
Spain,Date,2.715496747
Spain,Strawberry,
Spain,Mandarin,4.655686657
Spain,Chestnut,2.083002433
Spain,Nuts,3.890734819
Spain,Olive,0.45939079
Spain,Mirabelle,0.865786103
Spain,Orange,3.431725507
Spain,Fig,6.387945885
Spain,Raisin,
Spain,Pear,
Spain,Potato,
Spain,Khaki,
Spain,Kiwi,1.152018377
Spain,Pumpkin,1.961497187
Spain,Cherry,1.748927955
